Sales Channel,Order Quantity,Discount Applied,Unit Cost,Unit Price,DeliveryDays
In-Store,5,0.075,1001.18,1963.1,5
Online,3,0.075,3348.66,3939.6,0
Distributor,1,0.05,781.22,1775.5,0
Wholesale,8,0.075,1464.69,2324.9,150
Distributor,8,0.1,1476.14,1822.4,10
Online,5,0.05,446.56,1038.5,0
In-Store,4,0.15,536.67,1192.6,0
In-Store,5,0.05,1525.19,1815.7,0
In-Store,4,0.3,2211.2,3879.3,5
In-Store,8,0.05,1212.97,1956.4,0
Distributor,6,0.1,124.62,201.0,5
In-Store,5,0.15,2762.28,6277.9,0
In-Store,5,0.05,641.66,1051.9,0
In-Store,6,0.15,216.41,254.6,0
In-Store,6,0.15,3146.32,3932.9,5
In-Store,3,0.05,700.69,1112.2,0
In-Store,3,0.075,904.84,1239.5,8
In-Store,4,0.1,393.96,984.9,8
In-Store,4,0.1,4130.01,5581.1,0
Online,4,0.05,1795.33,3095.4,0
Wholesale,4,0.4,1754.06,2278.0,2
In-Store,7,0.075,654.46,991.6,0
In-Store,2,0.2,3064.45,3979.8,2
Distributor,3,0.4,866.71,1969.8,0
In-Store,1,0.15,131.32,268.0,8
Online,7,0.1,95.81,174.2,0
In-Store,3,0.075,2510.09,2988.2,0
In-Store,4,0.05,2679.93,3999.9,9
Distributor,3,0.05,2450.32,5976.4,1
In-Store,5,0.1,2378.9,2901.1,2
In-Store,7,0.075,2734.61,6076.9,0
Online,7,0.2,4186.7,5735.2,153
Online,3,0.1,2077.34,3919.5,99
Online,1,0.05,3832.67,6083.6,0
Wholesale,5,0.075,1642.3,2566.1,1
Distributor,2,0.075,1093.44,2278.0,0
In-Store,1,0.075,120.2,261.3,7
Online,8,0.05,698.81,998.3,40
In-Store,6,0.2,1958.54,3497.4,8
In-Store,4,0.05,486.89,1132.3,10
In-Store,7,0.05,1587.5,2405.3,2
Distributor,8,0.05,3249.97,5701.7,0
Distributor,1,0.2,1446.8,2452.2,0
In-Store,3,0.05,2012.01,3095.4,0
Online,4,0.4,2164.9,3865.9,0
Distributor,8,0.1,1382.88,2304.8,0
Online,3,0.05,1470.11,3195.9,3
Online,7,0.05,5161.68,6452.1,7
Distributor,3,0.3,921.52,2003.3,3
Distributor,8,0.05,1455.24,3638.1,9
In-Store,3,0.075,1822.4,2278.0,3
Online,6,0.3,582.5,924.6,4
Online,5,0.05,3062.44,3926.2,0
Distributor,4,0.075,2257.16,3825.7,0
Wholesale,3,0.05,1377.32,2257.9,153
Distributor,8,0.075,756.3,1112.2,181
Online,8,0.05,1814.43,3557.7,1
Online,3,0.4,1233.34,2371.8,91
Online,1,0.4,686.08,857.6,90
In-Store,5,0.3,2880.6,3892.7,2
In-Store,6,0.075,1390.92,3477.3,2
Online,5,0.1,2803.95,3738.6,0
Online,5,0.3,589.6,1072.0,0
In-Store,7,0.05,1761.16,2257.9,31
Online,3,0.1,751.61,1058.6,0
Online,4,0.1,1296.05,2492.4,10
In-Store,5,0.05,2465.6,3852.5,8
Distributor,8,0.05,132.66,241.2,6
In-Store,2,0.15,494.39,1051.9,0
Distributor,5,0.3,107.07,227.8,5
Distributor,5,0.05,506.99,1078.7,1
Wholesale,8,0.15,743.7,1005.0,7
Distributor,5,0.05,1317.42,2485.7,184
In-Store,3,0.05,2154.52,2659.9,0
In-Store,1,0.075,1579.32,2224.4,0
In-Store,7,0.2,1260.87,2472.3,0
In-Store,5,0.05,799.24,1011.7,1
Wholesale,6,0.2,128.98,234.5,67
Online,4,0.075,143.72,261.3,3
Online,7,0.1,2844.69,4006.6,0
In-Store,7,0.05,866.65,1333.3,67
In-Store,5,0.05,90.45,167.5,62
Online,7,0.075,1821.66,3195.9,0
Online,1,0.05,809.96,1051.9,0
Online,4,0.1,3540.62,5447.1,0
Online,2,0.075,1973.15,3182.5,8
In-Store,3,0.1,632.68,891.1,0
Online,2,0.2,2724.89,3892.7,3
Online,2,0.4,3360.05,3953.0,3
Online,2,0.3,545.51,924.6,9
Online,7,0.3,1989.63,3430.4,31
Distributor,7,0.075,622.3,1152.4,0
Distributor,4,0.1,922.59,1085.4,3
In-Store,5,0.1,4025.36,5031.7,6
Distributor,7,0.15,436.84,1092.1,0
Wholesale,7,0.05,144.45,187.6,2
Online,4,0.05,2835.17,3993.2,0
Online,5,0.05,1433.93,2472.3,3
In-Store,4,0.05,844.2,1206.0,68
Online,5,0.05,985.3,1728.6,7
Wholesale,7,0.075,1447.74,1983.2,9
Online,2,0.2,2656.55,5313.1,0
Distributor,5,0.075,566.15,871.0,8
Online,2,0.1,2051.41,2532.6,0
Online,4,0.075,4673.72,5916.1,1
Online,1,0.075,1443.85,2887.7,0
In-Store,7,0.1,1447.6,1855.9,2
In-Store,5,0.1,135.01,207.7,2
In-Store,3,0.05,772.78,1058.6,0
Online,7,0.1,517.37,958.1,128
In-Store,7,0.2,1675.74,2659.9,0
In-Store,3,0.1,1707.63,2217.7,67
Online,1,0.3,857.6,1715.2,3
In-Store,7,0.15,1691.15,3932.9,92
In-Store,2,0.05,1909.5,2546.0,1
Online,1,0.075,603.0,837.5,0
Online,3,0.15,1302.48,1809.0,0
Wholesale,8,0.075,514.56,857.6,0
In-Store,6,0.05,1101.68,1748.7,7
Wholesale,1,0.075,582.5,1266.3,1
In-Store,5,0.1,3591.54,5058.5,6
Distributor,7,0.05,795.22,958.1,0
Online,8,0.15,756.97,1802.3,0
In-Store,4,0.075,4534.56,6298.0,9
Online,1,0.1,1824.34,2499.1,120
In-Store,3,0.1,705.51,871.0,4
In-Store,1,0.05,360.19,750.4,0
Wholesale,8,0.075,504.11,763.8,4
In-Store,6,0.1,565.61,844.2,0
In-Store,7,0.05,112.36,261.3,68
Online,2,0.05,2359.94,3999.9,39
In-Store,6,0.05,811.91,1112.2,0
In-Store,2,0.075,1843.17,2633.1,0
Distributor,6,0.2,631.41,1018.4,0
